epoch,train_loss,test_acc@1,test_acc@3,test_acc@5
1,3.500028444160725,39.58,73.22999999999999,88.07000000000001
2,3.2403318164595873,43.230000000000004,76.71,90.68
3,3.1255551558297974,46.089999999999996,79.49000000000001,92.25
4,3.0490349195372892,50.56,82.91,93.96
5,2.9997237807809927,52.16,83.66,94.65
6,2.9699325216564416,53.44,84.86,94.88
7,2.937240422764142,55.48,86.04,95.43
8,2.9175506618050395,56.34,87.24,95.91
9,2.8935171252786733,57.379999999999995,87.56,96.2
10,2.878670737776958,58.989999999999995,88.18,96.36
11,2.8693638800353614,59.64,88.82,96.44
12,2.854538631347627,61.17,89.21,96.73
13,2.8461304257377007,60.209999999999994,89.34,96.78999999999999
14,2.838519497809123,61.739999999999995,89.61,97.05
15,2.834848706914582,62.3,89.7,96.97
16,2.820369089763998,62.92,90.38000000000001,97.0
17,2.8175006210422393,63.79,90.32,97.17
18,2.807069727766987,63.519999999999996,90.16,97.16
19,2.8010984338657803,63.79,90.08,97.15
20,2.795688623808105,64.33,90.41,97.16
21,2.788857813681286,64.69,90.74,97.28999999999999
22,2.7884956883712553,65.06,90.74,97.5
23,2.7810253539860783,65.68,91.32000000000001,97.59
24,2.777598991742055,65.81,91.28,97.65
25,2.7721513526540407,65.93,91.35,97.72
26,2.7680588476789136,66.13,91.31,97.6
27,2.762304875212656,66.86999999999999,91.74,97.63
28,2.756315769215094,66.35,91.53999999999999,97.7
29,2.7564911877452642,67.03,91.9,97.72999999999999
30,2.753988245995799,67.08,91.86999999999999,97.87
31,2.7515954789675763,67.51,91.94,97.72
32,2.7471313487247073,68.02,92.11,97.69
33,2.7431199962747845,68.31,92.25999999999999,97.91
34,2.740212944191946,68.07,92.2,97.91
35,2.7393948839507547,67.89,92.05,97.72999999999999
36,2.7363103086298164,68.61,92.51,97.94
37,2.7334777351836084,68.43,92.25999999999999,97.92999999999999
38,2.7304065328248788,69.38,92.55,98.13
39,2.727838619875694,68.95,92.74,98.07000000000001
40,2.724606815739875,69.14,92.60000000000001,98.03
41,2.7266335353045394,69.51,92.9,98.16
42,2.72204596620821,69.04,92.72,98.15
43,2.7160974376180262,69.67,92.83,98.14
44,2.717202569244766,69.11,92.75,97.96000000000001
45,2.7165191588725386,69.52000000000001,92.83,98.22
46,2.71497805368885,69.89,92.86999999999999,98.02
47,2.7156689811149723,69.89999999999999,92.83,98.11
48,2.7124622568736156,70.38,92.72,97.89
49,2.711252332649524,70.69,93.0,98.08
50,2.7044791946337865,70.25,92.96,98.18
51,2.707382197264062,70.11,92.86999999999999,98.21
52,2.7044356310413376,70.95,93.03,98.19
53,2.705125781851755,70.87,93.25,98.18
54,2.702618194450642,70.1,93.33,98.1
55,2.7011594532699195,71.41,93.28,98.19
56,2.701806570137356,70.57,93.06,98.2
57,2.6970816878136845,71.32,93.21000000000001,98.34
58,2.696428411748742,71.0,93.34,98.14
59,2.696194521443639,71.39,93.47,98.25
60,2.694547713489752,71.14,93.12,98.11999999999999
61,2.6943564634774924,71.85000000000001,93.58999999999999,98.28
62,2.6907909768186364,71.95,93.67999999999999,98.25
63,2.693317631142698,71.8,93.55,98.3
64,2.689898345290317,72.13000000000001,93.58999999999999,98.34
65,2.6945988043627573,71.89999999999999,93.64,98.29
66,2.6861184688902693,71.50999999999999,93.39,98.13
67,2.6855033907786527,72.65,93.66,98.37
68,2.688422586792715,72.43,93.60000000000001,98.41
69,2.6836946524975396,72.3,93.53,98.28
70,2.682756694117215,72.28,93.67,98.34
71,2.6825878177501177,72.49,93.89999999999999,98.31
72,2.6843334592106096,72.45,93.34,98.36
73,2.678280056209784,72.72,93.67999999999999,98.35000000000001
74,2.684188714405944,72.81,93.72,98.5
75,2.677749869154907,72.6,93.85,98.46000000000001
76,2.6791687297149442,73.06,94.05,98.5
77,2.6776423961038627,73.16,94.11,98.58
78,2.6742391516090813,73.17,93.78,98.42
79,2.679404281928811,73.55000000000001,93.87,98.41
80,2.6745786842402364,73.61,94.17999999999999,98.4
81,2.6745269477138445,72.50999999999999,93.67999999999999,98.27
82,2.676369099702481,73.05,94.17999999999999,98.46000000000001
83,2.6760685263766826,73.11,93.66,98.4
84,2.6723857122865744,73.47,93.82000000000001,98.48
85,2.672751896207372,73.55000000000001,93.8,98.35000000000001
86,2.6735170256923624,74.09,94.08,98.49
87,2.673223772671708,73.7,94.21000000000001,98.41
88,2.671841962084117,73.85000000000001,94.02000000000001,98.44000000000001
89,2.669150481761341,73.83999999999999,94.25,98.45
90,2.668458901049996,73.92999999999999,94.02000000000001,98.48
91,2.6681723757986835,73.82,94.13,98.56
92,2.6654025638301913,73.65,93.94,98.42
93,2.668927530625718,73.63,94.15,98.39
94,2.6659055586508384,74.33999999999999,94.07,98.54
95,2.66974859109456,73.47,93.86,98.33
96,2.6625758665929835,74.36,94.49,98.6
97,2.668478766110429,73.95,94.06,98.42999999999999
98,2.6634660982139287,74.07000000000001,94.26,98.52
99,2.663759684898484,74.32,94.3,98.52
100,2.664929070179655,73.97,94.17,98.53
